88 -80 2 21 1
-26 -13 16 -1 0
3 51 30 49 1
-48 -99 -13 57 0
-63 29 91 87 0
-80 60 -43 -79 0
-12 -52 -42 69 0
87 -86 89 89 1
74 89 -50 7 1
-46 -37 30 -50 0
34 -80 -28 66 0
-83 31 -12 -41 0
-87 -92 -11 -48 0
29 -17 -9 10 1
87 98 71 -93 1
74 -66 -20 63 1
-51 3 31 -99 0
33 -47 5 -97 1
-47 90 45 -57 1
61 89 -87 -6 1
-53 -86 99 89 0
-61 -19 10 -48 0
-77 53 87 23 0
-60 56 -86 -56 0
-36 -12 -30 -92 0
-13 28 35 -38 1
38 -20 35 62 1
62 -68 22 -96 1
-60 -73 34 -29 0
-89 61 -68 -53 0
50 -39 -64 -2 1
71 3 -66 92 1
0 74 30 -100 1
-96 41 2 -74 0
36 -86 -11 -59 1
23 78 -38 -5 1
-49 -5 31 50 0
42 70 -72 -65 1
-88 59 -30 86 0
-15 -73 -35 69 0
-56 -39 84 33 0
-73 -73 7 -57 0
-17 -71 89 -26 0
27 -9 89 28 1
20 -74 89 20 0
15 -98 2 97 0
99 54 36 -39 1
64 -50 71 51 1
-42 17 59 -5 0
79 12 -39 85 1
-49 -89 -62 29 0
30 12 0 12 1
83 -20 86 12 1
-99 29 -47 -14 0
28 46 25 29 1
-48 71 59 97 0
59 -33 82 83 1
22 44 -63 -77 1
-32 15 -3 97 0
38 43 -4 23 1
86 -31 -8 -98 1
47 86 63 46 1
-11 94 46 47 1
-5 98 -49 60 1
67 27 -62 -19 1
3 28 -90 84 0
77 50 58 -59 1
-2 -94 43 -11 0
11 -41 12 -99 1
28 -53 39 96 0
-64 59 -92 -2 0
46 -53 30 47 1
51 -47 19 60 1
51 15 -26 12 1
99 63 65 3 1
-17 11 -2 52 0
-8 45 27 9 1
-19 93 -47 62 1
88 68 60 -33 1
-68 41 -80 -53 0
47 27 35 34 1
94 44 27 -68 1
75 86 14 18 1
-79 57 -63 8 0
-50 81 -93 -74 1
-74 -80 -71 -4 0
-73 10 91 96 0
-40 -53 46 -97 0
-66 91 -52 -84 1
71 57 -55 16 1
-95 -2 23 -64 0
-77 -8 -55 80 0
-6 -2 87 15 0
90 59 60 -34 1
27 -83 -76 -47 1
-43 -34 3 73 0
-77 13 -69 74 0
-15 50 93 26 0
54 29 -84 3 1
60 36 -58 75 1
-62 69 -75 -2 0
-51 52 51 -88 1
-41 34 -44 -65 0
72 -81 -36 -93 1
43 41 14 42 1
-9 -3 -35 -69 1
90 -15 -50 52 1
85 -38 89 24 1
49 -43 -43 -15 1
-52 79 69 -31 0
-86 -47 87 0 0
-93 -48 -41 7 0
-96 2 95 -95 0
8 15 -7 -54 1
-2 -46 67 -49 0
43 -88 13 23 0
5 57 46 44 1
19 -38 -82 -9 1
-43 82 -11 16 0
-39 -78 26 36 0
39 28 -43 21 1
-100 -67 -5 25 0
17 -53 -12 16 0
28 -85 88 91 0
90 -32 -79 -8 1
94 -25 53 43 1
78 -15 84 -72 1
-32 -54 -7 89 0
96 43 75 -16 1
-62 -1 -68 0 0
-78 -91 -32 -1 0
-67 79 37 46 0
85 -5 -100 -32 1
-97 -85 -77 -21 0
-99 27 59 -17 0
51 39 77 62 1
23 -68 60 88 0
78 70 0 -89 1
-34 -36 60 67 0
-27 -58 -57 -72 0
40 -89 -6 -55 1
29 -66 -20 -11 1
-93 -8 53 -11 0
61 14 4 34 1
95 -43 13 -26 1
56 19 63 -80 1
63 37 0 51 1
91 76 -2 -65 1
-5 51 50 89 0
-64 -89 12 82 0
-88 -78 -2 4 0
